//Quantitative values
58	//Makespan
38	//Mission completion time hauler 1
58	//Mission completion time hauler 2
15	//Application execution time (in millisecond)
//Path to the final points
0,[2,8],[6,1]
1,[2,7],[6,2]
2,[2,6],[6,3]
3,[2,5],[6,4]
4,[2,4],[7,4]
5,[3,4],[7,5]
6,[4,4],[7,6]
7,[5,4],[7,7]
8,[6,4],[7,8]
9,[5,4],[7,9]
10,[5,3],[7,10]
11,[5,2],[8,10]
12,[6,2],[9,10]
13,[6,3],[10,10]
14,[6,4],[11,10]
15,[7,4],[11,9]
16,[8,4],[11,8]
17,[9,4],[11,7]
18,[10,4],[11,6]
19,[11,4],[11,5]
20,[12,4],[11,4]
21,[11,4],[12,4]
22,[10,4],[11,4]
23,[9,4],[10,4]
24,[8,4],[9,4]
25,[7,4],[8,4]
26,[6,4],[7,4]
27,[5,4],[6,4]
28,[5,3],[7,4]
29,[5,2],[7,5]
30,[6,2],[7,6]
31,[7,2],[7,7]
32,[8,2],[7,8]
33,[9,2],[7,9]
34,[10,2],[7,10]
35,[11,2],[7,9]
36,[12,2],[7,8]
37,[12,3],[7,7]
38,[12,4],[7,6]
39,[12,4],[7,5]
40,[12,4],[7,4]
41,[12,4],[6,4]
42,[12,4],[6,3]
43,[12,4],[6,2]
44,[12,4],[5,2]
45,[12,4],[5,3]
46,[12,4],[5,4]
47,[12,4],[6,4]
48,[12,4],[7,4]
49,[12,4],[7,5]
50,[12,4],[7,6]
51,[12,4],[7,7]
52,[12,4],[7,8]
53,[12,4],[7,9]
54,[12,4],[7,10]
55,[12,4],[8,10]
56,[12,4],[9,10]
57,[12,4],[10,10]
58,[12,4],[11,10]
