//Quantitative values
71	//Makespan
48	//Mission completion time hauler 1
47	//Mission completion time hauler 2
71	//Mission completion time hauler 3
17	//Application execution time (in millisecond)
//Path to the final points
0,[1,11],[6,2],[12,9]
1,[1,10],[6,1],[11,9]
2,[1,9],[7,1],[10,9]
3,[1,8],[8,1],[9,9]
4,[1,7],[9,1],[8,9]
5,[2,7],[10,1],[7,9]
6,[2,6],[9,1],[7,8]
7,[2,5],[8,1],[7,7]
8,[1,5],[7,1],[7,6]
9,[1,4],[6,1],[7,5]
10,[1,5],[6,2],[6,5]
11,[2,5],[6,3],[6,4]
12,[2,6],[6,4],[6,3]
13,[2,7],[6,3],[6,2]
14,[2,8],[6,2],[6,1]
15,[2,9],[6,1],[7,1]
16,[3,9],[7,1],[8,1]
17,[4,9],[8,1],[9,1]
18,[5,9],[9,1],[10,1]
19,[6,9],[10,1],[9,1]
20,[7,9],[11,1],[8,1]
21,[8,9],[11,2],[7,1]
22,[9,9],[11,3],[6,1]
23,[8,9],[12,3],[5,1]
24,[7,9],[11,3],[4,1]
25,[6,9],[10,3],[3,1]
26,[5,9],[9,3],[2,1]
27,[4,9],[8,3],[2,2]
28,[3,9],[7,3],[2,3]
29,[2,9],[6,3],[2,4]
30,[2,8],[5,3],[2,5]
31,[2,7],[4,3],[2,6]
32,[2,6],[3,3],[2,7]
33,[2,5],[2,3],[2,8]
34,[1,5],[1,3],[2,7]
35,[1,4],[1,4],[2,6]
36,[2,4],[1,3],[2,5]
37,[3,4],[2,3],[2,4]
38,[4,4],[3,3],[2,3]
39,[5,4],[4,3],[2,2]
40,[6,4],[5,3],[2,1]
41,[5,4],[6,3],[3,1]
42,[4,4],[7,3],[4,1]
43,[3,4],[8,3],[5,1]
44,[2,4],[9,3],[6,1]
45,[3,4],[10,3],[7,1]
46,[4,4],[11,3],[8,1]
47,[5,4],[12,3],[9,1]
48,[6,4],[12,3],[10,1]
49,[6,4],[12,3],[9,1]
50,[6,4],[12,3],[8,1]
51,[6,4],[12,3],[8,2]
52,[6,4],[12,3],[8,3]
53,[6,4],[12,3],[8,4]
54,[6,4],[12,3],[8,5]
55,[6,4],[12,3],[8,6]
56,[6,4],[12,3],[8,7]
57,[6,4],[12,3],[8,8]
58,[6,4],[12,3],[8,9]
59,[6,4],[12,3],[9,9]
60,[6,4],[12,3],[8,9]
61,[6,4],[12,3],[7,9]
62,[6,4],[12,3],[6,9]
63,[6,4],[12,3],[5,9]
64,[6,4],[12,3],[4,9]
65,[6,4],[12,3],[3,9]
66,[6,4],[12,3],[2,9]
67,[6,4],[12,3],[2,8]
68,[6,4],[12,3],[2,7]
69,[6,4],[12,3],[2,6]
70,[6,4],[12,3],[2,5]
71,[6,4],[12,3],[2,4]
